text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
25,5,"For this instance, the model predicted not to have a stroke.",5.24
26,1,Bmi (Body Mass Index) is the third most important feature and has a negative influence on the prediction.,29.26
26,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,9.9
26,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.45
26,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.17
26,5,"For this instance, the model predicted not to have a stroke.",5.26
27,1,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,28.58
27,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,9.63
27,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.4
27,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.15
27,5,"For this instance, the model predicted not to have a stroke.",5.24
28,1,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,28.58
28,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,9.63
28,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.4
28,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a positive influence on the prediction.,4.15
28,5,"For this instance, the model predicted not to have a stroke.",5.26
29,1,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,40.14
29,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,10.62
29,3,Bmi (Body Mass Index) is the second most important feature and has a positive influence on the prediction.,5.83
29,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.38
29,5,"For this instance, the model predicted to have a stroke.",5.61
